4月1日（土）,<a class="mapcheckbox" href="#map">中央ステージ</a>,<a class="mapcheckbox" href="#map">チャリティライブ</a>,<a class="mapcheckbox" href="#map">テント村</a>,<a class="mapcheckbox" href="#map">中央パレード,<a class="mapcheckbox" href="#map">五香パレード</a>,<a class="mapcheckbox" href="#map">全さくら通りパレード</a>
11:00,よさこいソーラン,,税金クイズに挑戦,,,
,常盤平第一小学校,,松戸法人会,,,
,http://www.matsudo.ed.jp/~toki1-e/,,,,,
11:10,常二ソーラン ,,,,,
,常盤平第二小学校,,,,,
,http://www.matsudo.ed.jp/~toki2-e/,,,,,
11:30,吹奏楽演奏,チャリティライブ,,,,
,金ヶ作中学校,実行委員会,,,,
,http://www2.matsudo.ed.jp/~kane-j/,,,,,
11:50,吹奏楽演奏 ,,,,,
,常盤平中学校,,,,,
,http://www2.matsudo.ed.jp/~tkwdr-j/,,,,,
12:30,オープニングセレモニー,,,,,
,常盤平さくらまつり実行委員会,,,,,
13:05,,,,音楽隊パレード ,,
,,,,松戸市消防音楽隊,,
,,,,http://www.city.matsudo.chiba.jp/matfd/ongakutai/,,
,,,,音楽隊パレード先導 ,,
,,,,PINK DIAMONDS,,
,,,,http://pd.prm.jp/,,
,,,,交通安全パレード ,,
,,,,松戸交通安全母の会,,
,,,,http://www.city.matsudo.chiba.jp/kurashi/douro/anzenjyouhou/hahanokai.html,,
,,,,鼓笛隊パレード ,,
,,,,ボーイスカウト松戸第一団,,
,,,,http://bsmatsudo1dan.com/m1home.htm,,
13:10,踊りの祭典 ,,,,,
,松戸舞踊連合会,,,,,
13:40,ハワイアンフラ,,,,,
,松戸ハワイアン・フラサークル,,,,,
