4月2日（日）,<a class="mapcheckbox" href="#map">中央ステージ</a>,<a class="mapcheckbox" href="#map">チャリティライブ</a>,<a class="mapcheckbox" href="#map">テント村</a>,<a class="mapcheckbox" href="#map">中央パレード,<a class="mapcheckbox" href="#map">五香パレード</a>,<a class="mapcheckbox" href="#map">全さくら通りパレード</a>
10:00,吹奏楽発表 ,,,,,
,栗ヶ沢中学校,,,,,
,http://www2.matsudo.ed.jp/~kuri-j/,,,,,
10:20,吹奏楽演奏 ,,,,,
,第四中学校,,,,,
,http://www2.matsudo.ed.jp/~mtd-4-j/,,,,,
10:30,,チャリティーライブ,,,,鼓笛隊パレード
,,,,,,創価学会富士鼓笛隊
11:20,,,,神輿パレード,,
,,,,常盤平神輿舎,,
,,,,山車パレード,,
,,,,松戸つづみ連,,
,,,,http://matudowadaiko.web.fc2.com/tudumi.html,,
11:25,ロックソーラン ,,,,,
,松二小ロックソーラン隊,,,,,
,http://www2.matsudo.ed.jp/~matu2-e/,,,,,
