4月2日（日）,<a class="mapcheckbox" href="#map">中央ステージ</a>,<a class="mapcheckbox" href="#map">チャリティライブ</a>,<a class="mapcheckbox" href="#map">テント村</a>,<a class="mapcheckbox" href="#map">中央パレード,<a class="mapcheckbox" href="#map">五香パレード</a>,<a class="mapcheckbox" href="#map">全さくら通りパレード</a>
10:00,吹奏楽発表 ,,,,,
,栗ヶ沢中学校,,,,,
,http://www2.matsudo.ed.jp/~kuri-j/,,,,,
10:20,吹奏楽演奏 ,,,,,
,第四中学校,,,,,
,http://www2.matsudo.ed.jp/~mtd-4-j/,,,,,
10:30,,チャリティーライブ,,,,鼓笛隊パレード
,,,,,,創価学会富士鼓笛隊
11:20,,,,神輿パレード,,
,,,,常盤平神輿舎,,
,,,,山車パレード,,
,,,,松戸つづみ連,,
,,,,http://matudowadaiko.web.fc2.com/tudumi.html,,
11:25,ロックソーラン ,,,,,
,松二小ロックソーラン隊,,,,,
,http://www2.matsudo.ed.jp/~matu2-e/,,,,,
11:50,かっぽれ 河のや梅若寿連,,,,,
,端唄舞かっぽれ河のや梅若寿会,,,,,
,https://www.facebook.com/%E3%81%8B%E3%81%A3%E3%81%BD%E3%82%8C%E7%AB%AF%E5%94%84%E8%88%9E-%E6%B2%B3%E3%81%AE%E3%82%84-%E8%8B%A5%E5%AF%BF%E9%80%A3-123836127720891/,,,,,
12:00,,,,,サンバパレード,
,,,,,フロール・ヂ・マツド・セレージャ,
,,,,,http://www.cereja.jp/,
12:15,Kids HIPHOP danceの発表,,,,,
,MJC dance company,,,,,
12:40,ハワイアン フラ,,,,,
,ラウレア・フラスタジオ,,,,,
,http://mjc-dance-company.com/,,,,,
13:05,日本舞踊,,,,,
,亀志穂会,,,,,
13:30,コナミスポーツ五香キッズダンス,,,,,鼓笛隊パレード
,コナミスポーツ ジュニアスクール五香,,,,,ボーイスカウト松戸第一団
,http://information.konamisportsclub.jp/004041.html,,,,,http://bsmatsudo1dan.com/m1home.htm
,,,,,,ポイ捨てをなくし松戸を美しい街に
,,,,,,メイク松戸ビューティフル
,,,,,,https://www.pref.chiba.lg.jp/seisaku/chiikizukuri/hiroba/hiroba033.html
13:55,松戸国際高校ダンス同好会 Wassup,,,,,
,松戸国際高校ダンス同好会 Wassup,,,,,
,http://cms1.chiba-c.ed.jp/matsudokokusai-h/,,,,,
14:20,CHEER☆S.K.D with FLOWER Angels,,,,,
,CHEER☆S.K.D with FLOWER Angels,,,,,
14:45,なわ ロープショー,,,,,
,なわとび&ダブルダッチ,,,,,
15:10,BMXのパフォーマンス ,,,,,
,中島倶楽部,,,,,
,http://www.ntv.co.jp/burari/071103/info04.html,,,,,
15:35,Belly Dance From 松戸 EVA,,,,,
,松戸 EVA Belly dance Studio,,,,,
,http://www.eva-belly.com/,,,,,
16:00,シンガーソングライター渡部まいこ さくらライブ,,,,,
,渡部まいこ,,,,,
,http://ameblo.jp/maikowatabe-i-1000nen/,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
